transaction_id;customer_id;date;time;amount;category;city;payment_method
14194;100141;01/01/2026;08:10:54;80.65;Entertainment;Porto Alegre;Debit Card
13016;100157;01/01/2026;09:01:29;194.5;Restaurant;Porto Alegre;Debit Card
14473;100215;01/01/2026;09:02:35;125.09;Fuel;Brasilia;Bank Transfer
14259;100108;01/01/2026;09:25:37;160.89;Fuel;Campinas;Bank Transfer
14717;100207;01/01/2026;10:01:16;39.22;Transport;Sao Paulo;Bank Transfer
14834;100115;01/01/2026;12:02:43;1130.83;Electronics;Sao Paulo;Credit Card
14160;100045;01/01/2026;13:42:19;152.2;Restaurant;Porto Alegre;Credit Card
13007;100114;01/01/2026;13:56:35;95.58;Pharmacy;Campinas;Digital Wallet
12594;100036;01/01/2026;14:24:15;666.27;Online Shopping;Salvador;Debit Card
14486;100184;01/01/2026;16:15:42;575.03;Entertainment;Porto Alegre;Digital Wallet
13979;100044;01/01/2026;16:24:19;60.34;Groceries;Fortaleza;Credit Card
12408;100006;01/01/2026;17:19:48;211.07;Entertainment;Recife;Bank Transfer
14398;100203;01/01/2026;18:41:11;494.87;Utilities;Salvador;Digital Wallet
14043;100021;01/01/2026;19:50:43;44.69;Transport;Rio de Janeiro;Credit Card
14641;100119;01/01/2026;20:07:05;285.87;Groceries;Campinas;Debit Card
13570;100173;01/01/2026;20:53:54;1446.66;Travel;Porto Alegre;Digital Wallet
13813;100063;01/01/2026;21:10:22;32.02;Transport;Fortaleza;Pix
13657;100219;01/01/2026;21:39:44;42.05;Transport;Porto Alegre;Pix
14710;100126;01/01/2026;21:42:20;168.55;Fuel;Rio de Janeiro;Debit Card
14511;100071;01/01/2026;22:36:50;561.83;Utilities;Fortaleza;Debit Card
14111;100058;01/01/2026;22:51:06;717.07;Online Shopping;Belo Horizonte;Debit Card
12928;100205;01/01/2026;23:23:12;204.24;Fuel;Campinas;Debit Card
13115;100056;01/02/2026;02:05:01;65.06;Transport;Salvador;Pix
14124;100020;01/02/2026;06:24:49;226.8;Restaurant;Brasilia;Bank Transfer
13690;100138;01/02/2026;07:04:03;127.34;Entertainment;Sao Paulo;Credit Card
12873;100152;01/02/2026;07:08:36;75.95;Transport;Recife;Credit Card
12432;100208;01/02/2026;09:35:48;219.51;Entertainment;Porto Alegre;Credit Card
13740;100049;01/02/2026;10:37:24;642.95;Utilities;Sao Paulo;Credit Card
14313;100136;01/02/2026;10:43:04;72.37;Pharmacy;Recife;Pix
13342;100068;01/02/2026;11:12:01;39.89;Transport;Salvador;Digital Wallet
12345;100164;01/02/2026;13:08:47;63.82;Pharmacy;Sao Paulo;Pix
13870;100115;01/02/2026;14:51:47;147.88;Entertainment;Fortaleza;Debit Card
13797;100056;01/02/2026;15:53:43;1749.36;Electronics;Brasilia;Credit Card
12649;100082;01/02/2026;16:24:17;312.74;Fuel;Brasilia;Digital Wallet
14159;100070;01/02/2026;19:14:15;679.43;Online Shopping;Rio de Janeiro;Credit Card
12709;100206;01/02/2026;19:58:46;2179.31;Travel;Curitiba;Pix
12712;100075;01/02/2026;20:23:37;516.46;Entertainment;Porto Alegre;Digital Wallet
12449;100070;01/02/2026;20:35:09;2410.44;Travel;Brasilia;Bank Transfer
13853;100029;01/02/2026;20:46:04;360.73;Entertainment;Salvador;Debit Card
12996;100028;01/02/2026;22:34:25;1606.18;Online Shopping;Brasilia;Credit Card
13305;100037;01/02/2026;23:27:58;1547.67;Electronics;Fortaleza;Debit Card
13589;100164;01/03/2026;01:07:06;133.28;Entertainment;Rio de Janeiro;Credit Card
13516;100037;01/03/2026;02:25:06;181.31;Pharmacy;Recife;Debit Card
12682;100084;01/03/2026;02:42:44;201.08;Entertainment;Sao Paulo;Credit Card
14436;100031;01/03/2026;03:13:12;662.35;Online Shopping;Belo Horizonte;Credit Card
13192;100103;01/03/2026;03:48:35;1192.29;Fuel;Campinas;Digital Wallet
12846;100112;01/03/2026;04:21:02;60.12;Pharmacy;Belo Horizonte;Credit Card
13053;100035;01/03/2026;04:38:59;119.83;Pharmacy;Belo Horizonte;Bank Transfer
12716;100217;01/03/2026;05:05:37;198.3;Utilities;Recife;Pix
13029;100176;01/03/2026;07:06:33;359.21;Entertainment;Rio de Janeiro;Pix
12726;100213;01/03/2026;07:10:59;1589.22;Electronics;Rio de Janeiro;Credit Card
12615;100062;01/03/2026;07:35:26;325.6;Restaurant;Porto Alegre;Debit Card
14316;100027;01/03/2026;07:52:24;180.31;Fuel;Porto Alegre;Credit Card
13379;100035;01/03/2026;08:05:35;1785.73;Electronics;Brasilia;Bank Transfer
13560;100090;01/03/2026;09:05:11;1010.61;Online Shopping;Brasilia;Digital Wallet
12410;100100;01/03/2026;10:39:34;397.52;Electronics;Recife;Debit Card
13176;100025;01/03/2026;12:18:42;132.83;Pharmacy;Fortaleza;Bank Transfer
12561;100041;01/03/2026;12:21:38;373.55;Online Shopping;Recife;Bank Transfer
14826;100217;01/03/2026;13:18:53;214.17;Fuel;Rio de Janeiro;Bank Transfer
14177;100214;01/03/2026;13:29:11;1924.24;Electronics;Campinas;Pix
13803;100132;01/03/2026;14:02:59;89.42;Restaurant;Porto Alegre;Debit Card
12720;100092;01/03/2026;14:54:07;82.62;Restaurant;Brasilia;Pix
12945;100048;01/03/2026;14:55:53;444.64;Utilities;Salvador;Pix
14606;100104;01/03/2026;15:13:56;239.02;Restaurant;Belo Horizonte;Credit Card
14053;100011;01/03/2026;16:59:50;2353.09;Electronics;Recife;Bank Transfer
12397;100111;01/03/2026;20:28:43;157.91;Entertainment;Campinas;Pix
13899;100049;01/03/2026;20:56:56;300.15;Pharmacy;Recife;Pix
14374;100212;01/03/2026;21:34:36;789.65;Utilities;Salvador;Debit Card
